name,Rd_star_kpc,Mstar_Msun,hz_star_kpc,Rd_gas_kpc,Mgas_Msun,hz_gas_kpc
NGC6195,13.94,195538000000.0,2.79,25.09,27806310000.0,0.15
NGC6503,2.16,6422500000.0,0.43,3.89,2319520000.0000005,0.15
NGC6674,6.04,107327000000.0,1.21,10.87,42779450000.00001,0.15
NGC6789,0.31,50000000.0,0.06,0.56,22610000.0,0.15
NGC6946,2.44,33086500000.0,0.49,4.39,7541100000.0,0.15
NGC7331,5.02,125315500000.0,1.0,9.04,14719110000.0,0.15
NGC7793,1.21,3525000000.0,0.24,2.18,1145130000.0,0.15
NGC7814,2.54,37264500000.0,0.51,4.57,1423100000.0000002,0.15
PGC51017,0.53,77500000.0,0.11,0.95,267330000.0,0.15
UGC00128,5.95,6010000000.0,1.19,10.71,9883230000.000002,0.15
UGC00191,1.58,1002000000.0,0.32,2.84,1786190000.0000002,0.15
UGC00634,2.45,1494500000.0,0.49,4.41,4871790000.0,0.15
UGC00731,2.3,161500000.0,0.46,4.14,2403310000.0,0.15
UGC00891,1.43,187000000.0,0.29,2.57,569240000.0,0.15
UGC01230,4.34,3810000000.0,0.87,7.81,8551900000.0,0.15
UGC01281,1.63,176500000.0,0.33,2.93,391020000.0,0.15
UGC02023,1.55,654000000.0,0.31,2.79,634410000.0,0.15
UGC02259,1.62,862500000.0,0.32,2.92,657020000.0,0.15
UGC02455,0.99,1824500000.0,0.2,1.78,1067990000.0000002,0.15
UGC02487,7.89,244977500000.0,1.58,14.2,23890790000.000004,0.15
UGC02885,11.4,201762500000.0,2.28,20.52,53299750000.00001,0.15
UGC02916,6.15,62076500000.0,1.23,11.07,30953090000.0,0.15
UGC02953,3.55,129758999999.99998,0.71,6.39,10211740000.0,0.15
UGC03205,3.19,56821000000.0,0.64,5.74,12870410000.0,0.15
UGC03546,3.79,50668000000.0,0.76,6.82,3557750000.0,0.15
UGC03580,2.43,6633000000.0,0.49,4.37,5812100000.0,0.15
UGC04278,2.21,653500000.0,0.44,3.98,1484280000.0000002,0.15
UGC04305,1.16,368000000.0,0.23,2.09,917700000.0,0.15
UGC04325,1.86,1012999999.9999999,0.37,3.35,901740000.0000001,0.15
UGC04483,0.18,6500000.0,0.04,0.32,42560000.0,0.15
UGC04499,1.73,776000000.0,0.35,3.11,1463000000.0000002,0.15
UGC05005,3.2,2049999999.9999998,0.64,5.76,4113690000.0,0.15
UGC05253,8.07,85791000000.0,1.61,14.53,21806680000.000004,0.15
UGC05414,1.47,561500000.0,0.29,2.65,763420000.0,0.15
UGC05716,1.14,294000000.0,0.23,2.05,1455020000.0000002,0.15
UGC05721,0.38,265500000.0,0.08,0.68,747460000.0000001,0.15
UGC05750,3.46,1668000000.0,0.69,6.23,1461670000.0,0.15
UGC05764,1.17,42500000.0,0.23,2.11,216790000.0,0.15
UGC05829,1.99,282000000.0,0.4,3.58,1360590000.0,0.15
UGC05918,1.66,116500000.0,0.33,2.99,395010000.0,0.15
UGC05986,1.67,2347500000.0,0.33,3.01,3547110000.0,0.15
UGC05999,3.22,1692000000.0,0.64,5.8,2689260000.0,0.15
UGC06399,2.05,1148000000.0,0.41,3.69,896420000.0000001,0.15
UGC06446,1.49,494000000.0,0.3,2.68,1834070000.0,0.15
UGC06614,5.1,62175000000.0,1.02,9.18,29111040000.000004,0.15
UGC06628,2.82,1869500000.0,0.56,5.08,1995000000.0,0.15
UGC06667,5.15,698500000.0,1.03,9.27,1075970000.0,0.15
UGC06786,3.6,36703500000.0,0.72,6.48,6689900000.000001,0.15
UGC06787,5.37,49128000000.0,1.07,9.67,6689900000.000001,0.15
UGC06818,1.39,794000000.0,0.28,2.5,1435070000.0,0.15
UGC06917,2.76,3416000000.0,0.55,4.97,2690590000.0000005,0.15
UGC06923,1.44,1445000000.0,0.29,2.59,1075970000.0,0.15
UGC06930,3.94,4466000000.0,0.79,7.09,4305210000.000001,0.15
UGC06973,1.07,26935000000.0,0.21,1.93,2331490000.0,0.15
UGC06983,3.21,2649000000.0,0.64,5.78,3946110000.0000005,0.15
UGC07089,2.26,1792500000.0,0.45,4.07,1614620000.0,0.15
UGC07125,3.38,1356000000.0,0.68,6.08,6156569999.999999,0.15
UGC07151,1.25,1142000000.0,0.25,2.25,819280000.0,0.15
UGC07232,0.29,56500000.0,0.06,0.52,61180000.00000001,0.15
UGC07261,1.2,876500000.0,0.24,2.16,1846040000.0,0.15
UGC07323,2.26,2054500000.0,0.45,4.07,960260000.0,0.15
UGC07399,1.64,578000000.0,0.33,2.95,990850000.0,0.15
UGC07524,3.46,1218000000.0,0.69,6.23,2366070000.0,0.15
UGC07559,0.58,54500000.0,0.12,1.04,224770000.00000003,0.15
UGC07577,0.9,22500000.0,0.18,1.62,58520000.0,0.15
UGC07603,0.53,188000000.0,0.11,0.95,343140000.0,0.15
UGC07608,1.5,132000000.0,0.3,2.7,711550000.0000001,0.15
UGC07690,0.57,429000000.0,0.11,1.03,518700000.00000006,0.15
UGC07866,0.61,62000000.0,0.12,1.1,156940000.0,0.15
UGC08286,1.05,627500000.0,0.21,1.89,853860000.0000001,0.15
UGC08490,0.67,508499999.99999994,0.13,1.21,957600000.0,0.15
UGC08550,0.45,144500000.0,0.09,0.81,383040000.0,0.15
UGC08699,3.09,25151000000.0,0.62,5.56,4971540000.0,0.15
UGC08837,1.72,250500000.0,0.34,3.1,425600000.00000006,0.15
UGC09037,4.28,34307000000.000004,0.86,7.7,25373740000.0,0.15
UGC09133,6.97,141463000000.0,1.39,12.55,44459240000.0,0.15
UGC09992,1.04,168000000.0,0.21,1.87,422940000.00000006,0.15
UGC10310,1.8,870500000.0,0.36,3.24,1590680000.0,0.15
UGC11455,5.93,187161000000.0,1.19,10.67,17735550000.000004,0.15
UGC11557,2.75,6050500000.0,0.55,4.95,3464650000.0,0.15
UGC11820,2.08,485000000.0,0.42,3.74,2629410000.0000005,0.15
UGC11914,2.44,75014000000.0,0.49,4.39,1181040000.0,0.15
UGC12506,7.38,69785500000.0,1.48,13.28,47289480000.0,0.15
UGC12632,2.42,650500000.0,0.48,4.36,2319520000.0000005,0.15
UGC12732,1.98,833500000.0,0.4,3.56,4867800000.000001,0.15
UGCA281,1.72,97000000.0,0.34,3.1,82460000.0,0.15
UGCA442,1.18,70000000.0,0.24,2.12,349790000.00000006,0.15
UGCA444,0.83,6000000.0,0.17,1.49,89110000.00000001,0.15

